Exports to Country (Unit: US$ Thousand),總計,亞洲,中國大陸,香港,日本,韓國,新加坡,馬來西亞,印尼,越南,泰國,菲律賓,印度,孟加拉,巴基斯坦,澳門,亞塞拜然,柬埔寨,斯里蘭卡,緬甸,不丹,汶萊,尼泊爾,寮國,北韓,哈薩克,烏茲別克,喬治亞,亞美尼亞,土庫曼,塔吉克,吉爾吉斯,中東,沙烏地阿拉伯,科威特,阿拉伯聯合大公國,伊朗,伊拉克,土耳其,卡達,阿曼,以色列,巴林,阿富汗,塞普勒斯,約旦,黎巴嫩,敘利亞,葉門,歐洲,德國,荷蘭,英國,義大利,法國,俄羅斯,西班牙,瑞士,比利時,芬蘭,瑞典,奧地利,波蘭,丹麥,愛爾蘭,匈牙利,葡萄牙,捷克,挪威,斯洛伐克,烏克蘭,希臘,阿爾巴尼亞,保加利亞,教廷,冰島,盧森堡,馬爾他,摩納哥,羅馬尼亞,塞爾維亞,蒙特內哥羅,馬其頓,波士尼亞與赫塞哥維納,克羅埃西亞,斯洛維尼亞,白俄羅斯,摩爾多瓦,立陶宛,愛沙尼亞,拉脫維亞,北美洲,美國,加拿大,中美洲,墨西哥,巴拿馬,哥斯大黎加,巴貝多,巴哈馬,安圭拉,安地卡及巴布達,貝里斯,多明尼克,多明尼加,薩爾瓦多,瓜地馬拉,格瑞那達,海地,宏都拉斯,牙買加,蒙瑟拉特,尼加拉瓜,玻多黎各,聖露西亞,聖文森,千里達及托巴哥,聖克里斯多福及尼維斯,古巴,南美洲,巴西,智利,秘魯,阿根廷,哥倫比亞,玻利維亞,厄瓜多,圭亞那(法屬),蓋亞那,巴拉圭,蘇利南,烏拉圭,委內瑞拉,大洋洲,澳大利亞,紐西蘭,薩摩亞(美屬),斐濟,吉里巴斯,馬爾地夫,諾魯,巴布亞新幾內亞,紐克里多尼亞,萬那杜,所羅門島,大溪地,東加,吐瓦魯,薩摩亞,非洲,南非,安哥拉,赤道幾內亞,剛果,奈及利亞,埃及,賴比瑞亞,阿爾及利亞,波札那,蒲隆地,維德角,喀麥隆,中非共和國,查德,剛果民主共和國,葛摩,貝南,衣索比亞,厄利垂亞,吉布地,加彭,甘比亞,迦納,幾內亞,幾內亞比索,象牙海岸,肯亞,賴索托,利比亞,馬達加斯加,馬拉威,馬利,茅利塔尼亞,摩洛哥,模里西斯,莫三比克,納米比亞,尼日,盧安達,辛巴威,聖多美普林西比,塞內加爾,獅子山,索馬利亞,蘇丹,史瓦帝尼,坦尚尼亞,多哥,突尼西亞,烏干達,布吉那法索,尚比亞
2011年3月,27550790,19051216,7741946,3632924,1526222,1037567,1279935,535828,510290,807027,575104,733941,404566,83110,47028,19624,640,60594,26992,12070,101,3378,951,167,2094,4358,539,3203,116,62,0,128,696197,158564,17402,137191,76826,2007,147030,7490,29805,56793,4859,81,3840,25011,10516,16693,2086,3070173,699887,448618,411737,256258,163785,135164,128031,40392,144094,71435,63581,32778,70595,37299,16318,32506,22440,48725,83898,39596,13094,19588,908,8523,0,922,4783,8862,4,13697,760,319,382,69,3282,11913,2181,484,12404,9814,10739,3237034,2970775,266070,207902,129877,16295,13028,111,19,2,62,556,25,9693,8646,8618,11,752,4556,1196,0,3528,3985,0,239,4836,28,267,337085,170176,27537,27948,27668,33402,544,15213,133,195,5988,588,12714,14960,359359,278831,62513,780,4407,23,246,25,1511,500,43,468,129,93,8,2468,323092,202685,1474,15,25,19987,31607,140,4572,1397,2,76,503,0,0,375,13,454,207,0,1180,18,739,4167,419,0,1169,10572,6215,368,1072,363,0,68,5395,6871,1554,50,0,14,371,79,548,32,3,828,2183,1899,584,10494,271,788,480
2011年4月,27610139,19363883,7623540,3690618,1687080,1195237,1338401,676350,430097,805894,524204,660815,430223,116472,49777,22023,865,57601,24752,13745,0,3456,1086,265,2011,4641,200,3892,257,7,13,76,621978,152986,12541,122268,65918,1478,147510,4980,14414,51328,3879,2,2852,20817,6380,12770,1851,2741463,604764,386340,432146,212463,164119,125568,113146,37722,141761,59779,56309,25126,73802,33233,17334,26161,17854,34817,30993,22424,16172,15180,1842,6578,0,403,3407,2829,43,11556,752,166,329,84,3486,25022,1328,415,12053,12546,10911,3427555,3242946,184583,195192,119502,16363,8978,564,22,8,2,432,30,9777,11950,7779,4,1079,3220,1282,0,3534,5093,108,93,4012,37,546,352079,174161,31002,32150,24805,33946,500,20049,54,1303,7455,579,9982,15862,419868,378255,27106,110,3383,29,175,0,1554,514,30,498,64,57,3,1013,202632,75515,1884,44,15,26976,36954,424,5070,1470,1,84,1652,6,0,1026,0,663,321,383,1413,299,63,4159,334,0,19,6565,6591,0,664,272,98,168,6724,4729,1064,103,0,18,242,15,746,11,0,1439,2133,1210,773,8362,324,594,226
2011年5月,28178985,19498938,7813811,3547728,1628185,1030517,1450756,601099,540894,998702,581536,527945,505124,96115,47391,23449,721,54925,27602,10139,2,2352,484,291,42,5973,58,2452,105,4,10,49,649726,100627,14838,128525,92057,1659,168178,5765,15560,67621,4029,202,3636,25051,7954,11656,2366,2878172,668308,378972,410761,251225,160820,126450,124624,40069,111408,69069,59734,24333,74171,33550,23020,23387,17549,43383,44218,15699,15699,17786,525,7766,0,477,4396,15133,21,13280,625,86,174,80,6554,56180,1222,318,11735,14518,10186,3674798,3445298,229418,220282,129397,19770,8870,396,19,5,39,624,68,10533,13034,13463,0,915,4655,1705,0,3636,6442,18,214,5387,15,267,384763,183894,30016,28610,45196,35876,540,17803,174,1018,7745,782,12279,20713,325608,270073,31647,229,5463,57,175,13,11365,345,127,446,55,122,0,168,222595,77173,1928,0,206,18394,51715,2,7245,1012,2,6,486,4,0,1022,2,695,189,131,2343,254,36,6079,1648,0,389,8288,7824,103,1002,506,10,22,4890,7199,417,314,3,2,204,5,926,457,0,1370,1468,2157,890,12120,262,80,392
2011年6月,25453532,17343189,6761051,3252696,1502760,980020,1278409,610634,358211,869293,524035,575842,381449,81082,35012,22665,1151,58031,27496,11880,17,1735,779,134,2299,4412,298,1140,48,0,25,47,719452,231074,14206,137787,95001,1509,122488,6313,12791,49107,3777,43,2616,19520,9061,12549,1609,2456892,587535,361661,341541,216549,136889,122611,100882,41625,88485,63125,56270,22226,53128,32797,13503,18026,16617,31594,18955,17846,16129,15009,1767,9092,0,279,2083,3255,0,12056,753,108,102,181,3664,17079,933,645,11179,9153,10756,3477774,3297046,180646,197061,120576,13165,10978,134,33,4,1,275,22,7196,13678,11264,4,859,4028,1312,29,2785,5715,11,55,3622,33,489,344636,168847,35314,31889,28785,34146,336,15463,27,672,5697,491,9672,13212,328772,267783,33469,1491,4980,98,354,25,5550,653,78,301,175,37,2499,302,292151,157671,1825,0,196,19928,46760,90,5735,622,1,0,481,1,153,571,0,1741,458,8,2231,203,49,5382,688,0,1568,6756,4439,225,734,195,87,1,5796,6511,1457,190,86,0,366,0,661,463,4,2090,680,3391,524,9197,204,253,73
2011年7月,28476917,19524961,7672808,3722681,1723556,1173631,1571488,705205,417289,768955,587128,540060,397719,79029,38423,17968,170,54100,28159,12148,0,4106,848,93,113,6311,523,1747,67,33,142,27,752875,188560,15255,160221,103756,1949,128565,7945,14784,57771,4705,60,4485,23977,6563,32894,1387,2600357,600578,376613,309774,195718,162351,169305,110505,35091,120513,66657,62645,24652,68899,35920,13201,24126,17636,32902,22875,21887,15958,11778,788,9061,0,332,3436,1837,17,11178,792,10,110,115,3968,30325,912,378,13111,11176,12378,3785475,3534706,250718,231827,145582,15541,15206,493,63,2,35,506,71,8851,13786,9944,40,1099,3835,1169,0,3279,6582,203,172,3926,52,340,594189,396261,34100,27593,38796,38918,572,20926,30,686,9450,848,13403,12541,438245,328389,70609,749,7421,15,562,0,22003,520,217,58,64,38,44,555,238659,79270,742,4,149,22518,60114,145,5497,605,1,0,1090,0,0,488,0,780,175,0,1640,239,367,2690,2064,0,1554,7865,4456,112,600,735,2,293,6564,3522,993,27,141,12,440,69,698,7,0,14830,1418,3155,950,8578,213,1129,598
2011年8月,26149330,17792885,7334051,3444767,1566510,1055791,1279119,577509,255129,653900,574488,447819,344852,108816,41520,10677,1093,49225,23594,10400,0,1982,866,228,2390,5718,457,1181,254,2,95,146,637758,112030,13458,145425,80419,1552,147668,5312,12459,57771,3954,121,3505,18460,8208,26103,1310,2626662,547549,366074,433871,198138,139432,148233,106792,38824,125986,69368,53269,23550,59632,32209,11918,30185,16777,40632,21186,24928,16065,13149,932,10056,0,1234,3868,1433,4,13159,742,121,140,148,4077,33854,934,435,12493,11927,12527,3383036,3121922,260967,237403,148267,16380,18700,470,14,14,1,312,1,9896,11799,9938,26,1362,4436,1278,0,3028,6222,27,39,3954,219,323,368035,176252,38626,28944,34314,35569,588,14596,133,576,8640,810,14311,14643,422429,353555,40038,395,11174,72,311,0,7082,931,107,952,138,157,0,133,354566,216247,1139,13,119,23364,43255,97,6195,745,0,179,708,7,0,959,0,519,72,0,1657,19,102,5541,421,0,2326,8794,5372,368,864,389,30,247,5850,6404,1359,355,4,0,548,0,1070,147,73,543,1447,5039,540,9800,484,92,327
2011年9月,24982938,17340812,6578323,3806092,1578208,974564,1399019,495496,305771,662621,513495,500456,304677,65159,35301,15199,392,54132,26319,9578,16,8791,488,121,0,3807,684,1251,62,59,44,156,554607,101131,14172,133048,56307,840,130767,7528,13585,50714,4122,9,3146,20527,8533,9072,1106,2550419,569179,385764,431843,179214,122831,126566,95699,35898,105767,63477,53624,25980,52803,30469,10110,38784,15677,33726,29018,21904,16692,14398,528,6324,0,1233,3794,2363,10,12675,769,41,150,137,2940,22099,1401,484,11304,12619,11373,3020190,2833399,186784,201958,123969,17192,15103,456,12,3,20,309,61,7987,8989,8337,6,1542,3854,1408,1,2283,4057,661,203,4497,223,353,443042,255903,34961,32006,31419,32387,453,14730,80,196,9846,414,16241,14371,362733,303901,33404,262,6563,96,374,0,5324,674,4,124,42,103,0,238,192702,68843,1449,0,135,16995,41675,32,4035,1098,0,9,698,8,0,485,0,937,140,0,3779,66,29,3354,1559,0,4431,5626,4842,411,793,309,5,3,4500,3610,1127,306,5,7,188,21,406,0,65,5594,1379,3105,3882,5803,167,72,204
2011年10月,27437274,18784911,7263484,3407603,1739140,1111048,1489736,643479,490804,803994,492574,674454,372288,123253,39881,14177,576,58163,29595,15244,20,2419,599,287,2213,7756,359,1108,69,86,117,104,715360,210025,17663,147416,83664,2617,123910,7395,13691,48419,5230,84,3425,23707,9228,17432,1454,2857096,570673,498933,504664,171365,147218,144828,92334,39236,90193,80695,52627,29589,57599,30071,17365,48839,15910,40679,49111,30459,20977,15061,946,9520,0,475,1833,2238,4,13902,911,30,248,100,3522,29964,2236,498,15277,14325,11884,3464418,3234335,229985,225176,144118,19434,11631,259,35,23,52,501,77,9559,11652,8013,8,743,3460,1743,0,2750,5467,870,375,3290,169,88,369999,169465,35582,29217,34841,37705,787,18136,105,1057,5641,1033,13584,22586,464196,369277,36828,1958,9752,148,348,12,38242,578,21,343,80,88,11,276,257659,127646,1623,26,64,17538,46303,0,7519,1189,24,28,498,1,0,526,0,467,644,163,1467,103,52,2397,413,0,2614,10440,5407,933,852,163,244,3,4404,6592,1106,352,0,0,446,42,898,697,116,1848,1397,2453,487,5664,541,646,68
2011年11月,24943842,17387135,6591610,3113492,1554988,962517,1887710,520931,414932,813284,380622,615303,286649,96193,31221,18720,738,50203,25280,10737,0,3113,465,137,35,5553,621,1095,67,107,30,347,598098,125401,15269,135021,67782,2095,129733,6205,12383,45023,3406,28,2737,25574,7419,16834,3187,2318986,485839,350905,311744,148717,142583,113436,86292,38969,81392,80120,54748,25803,48020,30603,15989,60934,15235,43479,32220,22610,15644,15413,1071,9339,0,371,2681,1659,2,10540,855,74,133,97,3477,28574,3553,555,17425,9634,7590,3060150,2876102,183966,212141,127475,18167,16623,382,40,31,58,556,0,8981,10989,9054,30,816,3392,1194,1,2030,4520,168,228,5799,243,382,333678,146183,36023,32545,35302,31959,510,12647,2,1125,7378,392,12513,17008,440738,372494,30535,745,7306,32,435,0,20010,777,124,323,115,102,48,175,307450,115368,2035,57,214,17778,46747,124,7033,476,3,0,439,7,0,469,13,410,439,1,1979,239,42,4849,1320,1,887,68655,3405,696,620,54,26,54,5745,4703,1448,41,9,9,302,1,916,832,6,5225,949,3412,971,7336,293,254,249
2011年12月,24293619,16867062,6345078,3305005,1527350,937442,1529783,594184,352509,636063,477153,597465,321789,95685,28394,14561,365,51622,24820,11804,0,3240,681,336,2426,5584,376,2502,155,164,67,134,571630,91994,15099,134433,61247,1434,140330,10569,11426,46669,3786,42,3208,23628,7432,18056,2257,2425489,507722,321099,407925,177742,130710,123432,88349,38129,91942,57486,58441,24023,55217,34154,14533,63491,15419,37585,25053,25455,18140,15155,536,11692,0,574,3676,1412,0,11745,765,74,309,529,3013,16813,1556,570,16616,12253,11576,3010444,2742217,268141,221250,138170,17493,15627,228,18,4,5,285,5,8914,10968,6680,12,1242,3639,1013,0,2804,5513,80,132,7367,217,169,373376,165154,41295,31988,29310,38360,947,17491,187,654,9355,684,13271,24631,334737,251866,32134,1485,9258,0,214,0,26479,538,76,523,20,192,0,766,209889,67130,1053,17,103,24287,48778,144,6345,1181,0,0,894,0,23,857,0,418,669,2,1724,25,20,3963,2889,18,1323,6944,4341,1172,1103,95,104,38,5657,10991,1493,21,5,8,240,13,618,152,22,741,1073,3409,2358,4953,444,295,201
2012年,305314663,215270899,82592334,38490883,19517937,11984379,20198583,6587785,5244446,8557048,6665294,8945191,3452187,1068968,430918,163860,8796,654069,364595,149874,41,33596,7540,3173,11126,101913,4501,18557,1127,3658,448,2253,7395832,1851007,175551,1660729,651775,23295,1605869,77170,150689,627483,67500,1015,37929,259171,86345,77230,42902,28871609,5684520,4437940,5070797,1834155,1573245,1542297,899307,435276,1127702,871431,627571,249565,586567,383212,214925,743939,186269,502506,322481,277823,192685,126944,17664,91000,3,9951,45028,44108,138,133850,8230,2673,1795,857,36352,120382,24186,6501,142898,150103,134217,35626363,33119861,2505693,2750761,1810874,223023,81942,3722,185,196,484,5879,865,107744,140683,118623,281,18179,45001,15217,0,46122,60977,1040,2096,55746,2692,3112,4183617,1994057,418567,328217,369803,408898,7521,198585,947,6904,57407,7096,156039,228816,4755844,3711772,533508,13768,106044,882,3832,3116,247846,7701,1054,4082,1527,1551,404,4109,3127234,900129,299037,383,1364,199428,588704,1374,73465,5672,99,182,7439,87,95,7740,49,5996,12196,476,46516,1855,5805,81745,9416,20,22304,320660,75541,56535,10195,2797,1034,1761,65720,100734,17235,2351,748,356,4628,4087,9062,4973,253,27501,12341,34284,10106,68194,4083,7622,2338
2012年1月,21372578,14300659,5328259,2350059,1421810,926040,1343783,487240,413588,471166,479808,590873,274537,78923,31325,10096,875,39481,26608,14910,0,3070,812,115,23,3594,36,2601,138,364,0,87,614454,110911,13137,170145,64791,2229,135324,5632,12622,51088,6282,50,2574,21099,6632,10421,1515,2376411,488513,358021,339025,166212,149275,126074,82901,38998,99296,74308,60130,22413,55678,33511,14031,57496,17184,38480,30287,15307,12749,10191,845,7234,0,418,5600,1875,9,13898,565,122,109,37,3620,14856,1954,666,10183,11214,12113,2669160,2474172,194893,202002,134260,18093,5587,211,1,16,12,307,7,8745,9636,6790,0,974,3027,964,0,2484,5062,65,56,4352,145,307,333152,151372,31138,24485,47662,34623,537,13057,101,649,3508,661,8053,17301,396761,341820,26518,706,8636,18,298,9,11130,587,36,36,223,33,0,257,202914,73687,1240,93,8,20874,42513,266,5933,244,0,28,524,7,1,733,0,773,208,0,2278,78,319,6300,1075,6,1849,6884,2914,2304,779,931,7,65,5593,6477,1647,390,3,17,560,514,1019,716,0,1805,841,2244,981,5421,248,329,172
2012年2月,23768102,16856500,6596195,2789979,1494267,945885,1599856,510082,410031,704328,537696,724560,275016,130857,39552,12316,1062,41125,25313,8484,0,1912,200,149,11,4457,133,2457,38,78,25,118,515383,110688,10986,108541,43808,1464,135983,6283,8973,53390,4962,90,3635,12317,6029,5946,2288,2270075,482501,345245,337157,142894,132493,119750,79437,37290,86596,68231,47248,21898,54855,27077,16938,66784,16939,46161,24875,17946,14114,8117,1680,6597,3,432,3904,2163,7,10730,704,88,81,129,3072,12752,1092,369,10767,10282,10217,2528645,2342800,185656,199157,115949,19398,5653,116,3,121,0,371,4,7886,20238,8998,0,623,3524,970,0,3392,5286,13,29,5325,451,146,293169,140421,24965,30265,14345,35580,239,15535,131,145,5860,332,16052,9238,340447,237639,63970,742,7302,79,243,0,8061,455,12,188,0,123,0,268,493768,100894,140339,3,253,14913,40274,132,6103,703,2,0,404,6,0,175,14,432,845,0,1135,160,12,4633,2571,14,807,144839,2756,3834,548,257,16,71,4800,7532,2016,155,0,30,216,420,755,105,2,1695,768,2101,608,4252,135,463,128
2012年3月,26738112,18673434,7247159,3382342,1508667,1071225,1710452,539409,425963,901985,597503,732492,314698,69498,45427,15605,356,61924,27912,7746,3,2372,777,531,2088,4165,330,1555,44,227,152,64,635119,116642,15696,165330,55773,1695,149914,8248,12129,58229,5790,74,3722,23477,7392,7157,3850,2713419,487328,383124,516830,175391,135212,125402,95833,39126,105363,76340,56738,24295,49778,36681,20030,100230,18859,61387,47082,47272,13973,13453,1139,8074,0,3045,5702,2660,1,15862,517,157,198,70,3532,9185,1322,539,12235,10227,8612,2972250,2739695,232480,223830,136000,20755,6312,717,44,5,8,498,86,8760,13499,11124,74,1483,4439,1413,0,4458,5573,119,188,7253,137,233,469821,265647,33546,41925,18777,39929,676,20258,76,264,4361,497,13069,30732,421798,325105,65760,375,6577,27,280,7,9406,1156,55,397,62,69,0,297,367562,66906,142220,8,13,21381,56639,35,6667,581,10,0,579,1,0,1075,0,430,757,37,1988,95,538,8998,520,0,2181,8496,5332,5648,1301,163,293,133,5933,6777,929,337,87,33,177,105,641,45,66,3618,2209,3288,1539,6277,221,375,318
2012年4月,25877141,17780488,6945941,3072112,1556134,1023983,1582449,570962,405366,788900,580960,722081,280702,86848,34307,12595,832,53529,34146,14777,1,2579,539,204,2309,4199,453,2389,217,267,2,163,837131,324340,13835,143155,51169,1223,176558,5906,5276,62601,5051,113,3163,25274,7070,8768,3629,2816660,494078,389924,597851,189004,152795,142630,91634,40890,106632,90646,59278,21425,50594,35904,21568,46172,17317,53718,69148,26559,13669,10141,1272,6795,0,618,8197,12607,9,13759,643,139,165,88,3257,8402,1625,866,12423,10559,12134,2923972,2709747,214147,211606,139849,15003,6242,325,24,4,107,745,80,8724,11442,6602,12,853,3993,1547,0,4949,4658,4,153,5388,154,220,347547,164896,34038,27431,31679,32502,569,18460,126,266,4939,746,12305,19521,446023,317652,72789,3527,8460,117,329,37,33097,531,36,237,138,47,5,335,217981,69150,1032,95,180,24530,47180,192,6163,809,5,3,457,11,1,340,14,693,889,99,1725,11,534,5951,1072,0,2823,9325,6967,6319,711,165,0,124,4911,7768,962,33,26,16,623,130,637,12,0,2289,1802,2567,665,5931,173,982,105
2012年5月,26439607,18411477,7046953,3194995,1702847,965878,1798100,553458,466184,680654,610012,784197,320881,136927,34954,13845,422,52147,24797,12611,24,3316,557,181,69,4467,144,1796,85,368,0,90,715786,184518,19897,160323,67026,2760,138402,7781,11566,63511,5837,192,3133,28266,8324,9503,4700,2492885,509855,368614,451438,180997,123842,131726,86416,29680,97782,69008,58416,21465,47756,34221,14830,57811,17433,43660,19236,19249,15440,11212,1286,7605,0,999,6923,2877,7,11537,559,320,101,94,2338,10677,2006,469,11698,11729,10955,3252486,3025167,227264,231856,143013,20964,8850,665,1,6,18,591,0,11557,10242,12784,71,1856,3802,1695,0,4729,5386,80,55,4781,101,121,443136,258312,36870,28227,31169,34451,620,18573,58,821,5931,503,9874,17708,355174,294693,32689,433,4929,99,422,4,10343,770,55,225,184,79,3,813,244143,60343,1997,29,206,16996,60768,174,6954,598,23,0,563,0,6,874,0,503,1072,13,10841,668,1183,7906,505,0,2008,9610,6478,6144,1343,120,271,0,6694,13820,936,293,0,145,294,223,1675,523,46,4898,734,4577,721,5926,344,2292,277
2012年6月,24749637,17505318,6698521,3221463,1640546,997474,1602322,504167,439892,753690,559432,597938,262836,80328,29935,10687,938,55529,26025,10443,0,3465,729,153,14,6240,547,858,48,133,33,630,608331,117702,12931,143862,57237,1569,162691,5728,8655,50523,4583,10,3208,19484,6974,9938,3147,2163889,463749,311641,334657,155251,118890,128727,72053,34124,85259,60339,47205,18035,47646,28259,14726,42434,13554,51456,16015,17012,17946,10712,1150,7456,0,1308,2664,2475,34,10223,835,43,118,34,2819,8981,1537,489,10891,11087,10713,3041590,2838847,202736,239727,165654,21450,6875,329,29,2,23,547,338,8057,9547,7839,56,965,2841,1221,0,4340,5101,87,98,3536,187,149,317902,142627,35405,22892,30340,33737,323,16361,20,778,4292,712,12714,17644,394671,334111,29435,1405,6235,2,160,0,14385,556,129,42,96,0,0,194,204744,71583,987,0,2,11536,50639,216,6424,270,13,6,275,17,0,910,0,402,1057,0,1021,169,622,8337,192,0,2069,7586,5128,4673,562,29,255,303,6115,8584,1463,50,2,18,303,289,693,554,0,1669,463,2188,541,5059,166,649,145
2012年7月,25223406,17684487,6920489,3254616,1674155,987912,1434298,579468,355293,764860,584092,599884,310978,58288,34122,12489,679,56691,27274,10194,2,3266,620,202,196,11400,1103,1026,72,156,10,116,711380,216419,16099,137664,82294,1934,130782,5997,14847,54570,7010,122,3377,18586,7271,11105,3303,2220236,470648,347507,346405,122181,132150,135893,64798,31606,87715,68848,49835,23723,46420,31439,17819,54750,12510,32762,15400,25065,14302,10206,1408,7394,0,570,1684,3835,2,11880,809,100,160,53,4441,7988,1977,343,9939,12698,11739,3052052,2852123,199739,259128,179589,20732,6361,289,2,14,50,445,4,9107,10816,9982,2,1175,3839,1320,0,4672,5219,83,43,4589,154,303,334552,159568,35562,25625,30012,30848,668,15319,107,432,4252,277,14671,17185,471425,390108,34123,1044,7480,309,355,0,28763,495,49,346,159,93,0,699,222283,77276,1566,0,94,15723,53693,45,5497,329,0,64,593,9,0,614,7,356,1498,119,4838,2,259,9192,535,0,1890,6296,4969,5801,1004,284,25,440,5949,5869,1086,163,1,2,585,65,790,754,47,1925,829,2533,1095,6492,263,154,35
2012年8月,25045064,17887154,6837523,3365574,1586495,918317,1786429,538656,319297,609959,517573,910678,264797,67750,30641,11970,352,58816,25722,17578,7,2451,734,249,1849,11521,674,652,73,293,23,142,589050,161942,10997,109708,69427,2030,118501,5956,15502,44174,6352,72,3112,27006,7426,3307,3521,2164613,462485,358527,316104,137847,112627,124044,58344,30222,83625,61026,54416,19317,50726,30441,21970,54227,13762,31942,15299,19896,19938,8676,2420,6330,0,954,1108,2863,4,8775,550,192,118,44,2515,10023,2433,348,12513,13035,14393,3076755,2860350,216387,232234,161663,21834,6095,179,1,15,39,835,174,7515,10770,6966,0,756,3018,716,0,2722,4868,206,45,2654,274,436,337993,140511,35195,30874,36901,34885,717,17475,110,681,4828,557,15255,19994,313850,255639,32497,292,9895,44,282,0,6125,689,57,281,147,153,65,399,190193,70452,2423,0,47,12688,42016,30,4606,122,3,0,442,3,0,779,0,407,674,0,2050,58,39,2756,220,0,532,11461,5918,4115,729,295,15,252,6071,5710,1112,325,88,0,307,0,667,601,20,1671,902,2373,789,4428,305,686,307
2012年9月,27511424,19983756,7407571,3673299,1873395,1004657,1970664,624296,595218,903945,608052,754115,291571,107940,32826,13596,561,58779,30275,12004,0,2413,789,249,222,14868,102,1382,12,331,19,96,559849,124930,14421,149591,46984,2726,109448,4432,18789,46849,4849,63,2902,17973,8763,2841,4286,2279560,451972,341438,445844,138391,114247,125250,62717,29057,87078,64206,50137,19876,38844,27036,25881,61687,14816,32827,14289,27464,17840,10595,2713,8126,0,472,2259,3796,4,9487,621,153,210,56,2505,9469,1951,413,9137,13326,12436,3118246,2918800,199434,253889,170232,19800,6441,209,55,3,153,330,90,10893,10074,11958,25,3331,3926,1917,0,3912,5163,23,355,4248,179,255,341582,139417,43016,24143,37824,32144,633,15424,2,760,5060,980,13276,28842,446622,316960,35777,1903,15196,15,293,91,66289,613,327,384,235,264,0,159,241903,91158,1298,24,119,16139,47514,9,6648,712,32,0,566,0,84,357,0,324,1132,0,2154,222,112,7925,1365,0,1462,10008,13019,5655,1150,172,10,251,4486,7905,1514,69,1,9,448,2092,905,89,67,1954,801,2468,603,6312,1250,603,106
2012年10月,26883813,18986738,7351244,3427796,1683389,1094680,1811068,547257,527693,647322,573097,780545,270388,73725,45146,14004,594,68130,30967,15368,2,3227,371,363,2125,14420,626,1913,139,480,16,242,584213,158850,15753,125450,45089,1910,115950,6416,19507,48808,5810,16,3951,24332,6637,2486,3248,2534639,487141,416950,499384,144103,133823,133766,64733,43413,89784,83160,47177,18288,48919,35238,12925,61189,14773,42249,19778,23499,22836,10665,2115,9121,0,532,1018,2105,27,8377,722,84,59,36,3186,8534,3164,752,13953,14604,11858,3143761,2934879,208872,283144,195021,18015,7826,208,11,5,0,203,57,9098,11000,17378,0,2827,4584,1309,0,3242,5007,48,196,5862,442,87,349615,158343,36579,25939,28717,36436,700,18236,63,1217,4778,637,14051,23807,414569,341928,36032,923,11818,50,417,27,12386,497,45,904,111,275,332,265,296125,77853,1214,110,210,15673,51671,236,5251,880,2,72,630,0,0,476,0,1135,1032,9,7736,221,89,6394,792,0,1911,76148,9089,4185,905,34,0,52,4561,8679,1494,27,264,80,524,4,267,126,4,2184,1512,2728,486,7435,354,512,174
2012年11月,25234233,18289915,6934699,3268467,1707750,1025912,1811315,523685,464753,646445,523423,879277,249352,92583,30072,13546,783,59134,27285,11156,0,2777,747,449,19,14228,199,968,79,257,1,261,489708,112804,14734,113901,32140,2053,106319,7051,13293,43562,5573,151,2086,22573,6726,3100,3626,2153610,405739,361862,391495,123089,117230,107606,63920,36010,69021,76255,43608,17773,40968,28617,13034,62784,12179,32970,23130,22377,15353,9582,1229,7016,0,201,3473,3695,13,7442,627,954,187,117,2719,7636,2142,382,17765,13529,9290,2935243,2712645,222519,200620,131697,11724,6226,170,12,4,26,395,13,10152,14579,7738,36,1856,3624,1282,0,2887,3939,126,67,3470,242,167,287995,118586,35183,25678,31956,31394,759,15950,2,347,5579,772,11638,9926,389241,294259,33293,700,12218,122,384,9,38424,611,17,425,73,241,0,360,201531,60920,844,15,3,13780,42267,21,8592,419,2,1,397,33,0,386,0,117,1131,67,1959,112,2000,7757,336,0,1939,14534,4988,3423,682,140,0,8,4368,11353,2803,277,273,6,348,79,377,995,0,1342,498,3592,1012,6019,260,47,309
2012年12月,26471545,18910972,7277781,3490180,1668484,1022416,1747846,609105,421168,683795,493646,868552,336431,85300,42611,23112,1342,48785,58271,14602,2,2747,665,328,2201,8354,155,960,184,704,168,243,535428,111260,17066,133059,36037,1701,125998,7741,9530,50178,5400,61,3065,18784,7100,2659,5789,2685612,480511,455086,494608,158794,150659,141427,76520,44861,129552,79064,53381,21055,54384,34789,21173,78374,16944,34893,27941,16175,14524,13394,408,9253,0,400,2497,3157,20,11880,1079,320,288,99,2348,11879,2984,863,11392,17813,9756,2912203,2710637,201565,213568,137948,15255,9474,303,3,0,47,613,12,7248,8841,10463,4,1479,4385,862,0,4335,5714,185,812,4289,226,688,327154,154356,37070,20733,30419,32369,1081,13939,152,545,4022,421,15083,16917,365264,261858,70626,1716,7298,0,370,2932,9436,742,236,617,98,172,0,63,244087,79907,3875,7,228,15194,53531,18,4627,4,8,7,2009,0,3,1019,14,424,1901,131,8791,59,97,5599,232,0,2833,15473,7984,4434,481,206,142,62,6237,10260,1273,232,2,0,243,164,636,451,2,2451,982,3625,1067,4641,364,529,262
